record_id,source,item_label,category,material_family,material_keywords,weight_kg,weight_kg_filled,weight_imputed,width_cm,depth_cm,height_cm,volume_l,size_bin,weight_bin,missing_dimensions,missing_weight,missing_materials,url,product_url
s49442676,IKEA,storage_organization_shelving_furniture_storage_shelves_shelving_units,storage organization shelving furniture storage shelves shelving units,mixed,"particleboard,fiberboard,acrylic,paint,honeycomb,structure,paper,filling,100,recycled,plastic,edging,steel,epoxy,polyester,powder,coating",21.34603952,21.34603952,False,147.0,39.05,93.98,539.478093,large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/kallax-shelving-unit-with-underframe-white-white__1041422_pe841007_s5.jpg,https://www.ikea.com/us/en/p/kallax-shelving-unit-with-underframe-white-white-s49442676/
s39483549,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"steel,galvanized,particleboard,paper,foil,plastic,edging,plastic,edging,paper,foil,particleboard,paper,foil,plastic,edging,plastic,edging,paper,foil,paper,edging,particleboard,paper,foil,acrylic,paint,particleboard,paper,foil,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",39.43528848,39.43528848,False,19.68,27.94,236.85,130.23415152,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-corner-comb-w-ext-units-black-oak-effect__1099526_pe865747_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-corner-comb-w-ext-units-black-oak-effect-s39483549/
s39581494,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil,fiberboard,paper,foil,paper,foil,plastic,edging,fiberboard,paper,foil",38.30130848,38.30130848,False,80.01,29.84,201.93,482.107551912,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-with-doors-white__0667808_pe714092_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-with-doors-white-s39581494/
20415046,IKEA,storage_organization_display_storage_cabinets_cabinets_hutches_cupboards,storage organization display storage cabinets cabinets hutches cupboards,mixed,"particleboard,paper,foil,plastic,edging,plastic,edging,particleboard,paper,foil,fiberboard,acrylic,paint,fiberboard,paper,foil,plastic,edging,plastic,edging,fiberboard,paper,foil",21.999212,21.999212,False,69.85,46.04,199.07,640.18801858,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/hauga-high-cabinet-with-2-doors-white__0914112_pe783851_s5.jpg,https://www.ikea.com/us/en/p/hauga-high-cabinet-with-2-doors-white-20415046/
s59483317,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil,fiberboard,paper,foil,paper,foil,plastic,edging,plastic,edging,fiberboard,paper,foil,tempered,glass",39.43528848,39.43528848,False,80.01,29.84,201.93,482.107551912,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-oxberg-bookcase-w-glass-doors-black-oak-effect__1096972_pe864645_s5.jpg,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-w-glass-doors-black-oak-effect-s59483317/
s59581822,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",22.6796,22.6796,False,240.03,27.94,106.05,711.2177711100001,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-combination-oak-effect__1269124_pe929019_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-combination-oak-effect-s59581822/
70481171,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,paper,foil,particleboard,paper,foil,plastic,edging,paper,foil,fiberboard,printed,acrylic,paint",10.34643352,10.34643352,False,49.85,29.84,80.01,119.01679524000002,medium,medium,False,False,False,https://www.ikea.com/us/en/images/products/baggebo-bookcase-white__1018918_pe831218_s5.jpg,https://www.ikea.com/us/en/p/baggebo-bookcase-white-70481171/
00594925,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,plastic,edging,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil,fiberboard,paper,foil,plastic,edging,tempered,glass",34.78597048,34.78597048,False,80.01,29.84,201.93,482.107551912,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-with-glass-doors-green__1384216_pe962921_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-with-glass-doors-green-00594925/
00579755,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paint,plastic,edging,fiberboard,paint,paint,particleboard,paint,melamine,foil,particleboard,paint,melamine,foil,plastic,edging,particle,and,fiberboard,with,honeycomb,paper,filling,100,recycled,paper,particleboard,fiberboard,honeycomb,structure,paper,filling,100,recycled,paint,paint,plastic,edging,particleboard,paint,paint,plastic,edging,fiberboard,paint",21.51840448,21.51840448,False,80.01,111.12,106.05,942.8599227600001,large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-with-foldable-table-white__1417029_pe975803_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-with-foldable-table-white-00579755/
s59590671,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paint,plastic,edging,fiberboard,paint,paint,particleboard,paint,melamine,foil,particleboard,paint,melamine,foil,plastic,edging,particle,and,fiberboard,with,honeycomb,paper,filling,100,recycled,paper,particleboard,fiberboard,honeycomb,structure,paper,filling,100,recycled,paint,paint,plastic,edging,particleboard,paint,paint,plastic,edging,fiberboard,paint,particleboard,paper,foil,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",25.287754,25.287754,False,120.02,111.12,201.93,2693.064161232,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-comb-w-foldable-table-white__1417080_pe975850_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-foldable-table-white-s59590671/
s49580093,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,plastic,edging,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil,fiberboard,paper,foil,plastic,edging,tempered,glass",34.78597048,34.78597048,False,160.02,29.84,201.93,964.215103824,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-green__1384213_pe962918_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-green-s49580093/
s19590673,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paint,plastic,edging,fiberboard,paint,paint,particleboard,paint,melamine,foil,particleboard,paint,melamine,foil,plastic,edging,particle,and,fiberboard,with,honeycomb,paper,filling,100,recycled,paper,particleboard,fiberboard,honeycomb,structure,paper,filling,100,recycled,paint,paint,plastic,edging,particleboard,paint,paint,plastic,edging,fiberboard,paint,particleboard,paper,foil,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil,fiberboard,paper,foil,plastic,edging,fiberboard,paper,foil,bamboo,bamboo,clear,lacquer",38.30130848,38.30130848,False,160.02,111.12,201.93,3590.6026252320007,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-hoegadal-bookcase-comb-w-foldable-table-white-woven-bamboo__1417079_pe975849_s5.jpg,https://www.ikea.com/us/en/p/billy-hoegadal-bookcase-comb-w-foldable-table-white-woven-bamboo-s19590673/
s09590659,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paint,plastic,edging,fiberboard,paint,paint,particleboard,paint,melamine,foil,particleboard,paint,melamine,foil,plastic,edging,particle,and,fiberboard,with,honeycomb,paper,filling,100,recycled,paper,particleboard,fiberboard,honeycomb,structure,paper,filling,100,recycled,paint,paint,plastic,edging,particleboard,paint,paint,plastic,edging,fiberboard,paint,fiberboard,paper,foil,particleboard,honeycomb,structure,paper,filling,100,recycled,fiberboard,paper,foil,plastic,edging,galvanized,steel",21.51840448,21.51840448,False,80.01,111.12,106.05,942.8599227600001,large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-eket-bookcase-comb-w-foldable-table-white__1417073_pe975846_s5.jpg,https://www.ikea.com/us/en/p/billy-eket-bookcase-comb-w-foldable-table-white-s09590659/
